Date,Working_Age_Population,Not_in_Labour_Force,Labour_Force,Emp_SA_Total,Unemployment,PR_SA_Total,UR_SA_Total,Emp_SA_FT_Male,Emp_SA_FT_Female,Emp_SA_FT,Emp_SA_PT_Male,Emp_SA_PT_Female,Emp_SA_PT,PR_SA_Male,PR_SA_Female,UR_SA_Male,UR_SA_Female,FT_Share_Male,FT_Share_Female
1987-02,12.42428183,4.702373998,7.687705166370001,7.05652598648,0.63117917989,0.6187645509,0.0821024176,3965.45323541,1723.1564371,5.688609672509999,285.58397508,1082.33233889,1.36791631397,75.33429244,48.78370097,7.89693395,8.68094254,0.9328201657761821,0.6142089934014913
1987-03,12.44737715,4.611137973,7.72149393049,7.07023921824,0.65125471225,0.6203310013,0.08434309710000001,3972.04788644,1724.17713756,5.696225024,297.15533979,1076.85885445,1.3740141942400002,75.64072721,48.79423777,8.0503414,9.01340603,0.9303955974819198,0.6155497974600265
1987-04,12.468745909999999,4.707124181,7.725866734209999,7.08461171983,0.64125501438,0.6196185879,0.0830010452,3976.99305643,1733.99597086,5.71098902728,293.75761839,1079.86507416,1.37362269255,75.34600885,48.94039259,7.8155625,9.02586506,0.9312163971261608,0.6162336885571673
1987-05,12.48982631,4.751168995,7.72324074381,7.08981771769,0.63342302612,0.6183625417999999,0.082015186,3978.53126847,1730.56286717,5.70909413564,291.73194283,1088.99163922,1.38072358205,75.31197904,48.72558028,7.94048455,8.59405242,0.9316829131145788,0.6137717370769029
1987-06,12.51104609,4.779032495,7.745917661,7.12553025473,0.62038740626,0.6191262988999999,0.0800921767,3992.68359865,1737.106145,5.72978974366,302.00681903,1093.73369205,1.39574051108,75.52718827,48.66684891,7.83440143,8.27317024,0.9296790246424457,0.613636321725014
1987-07,12.5312307,4.745513006,7.8010809094599995,7.17126259453,0.6298183149300001,0.6225311062,0.0807347497,4022.4571565,1753.95839369,5.77641555019,299.21660418,1095.63044016,1.3948470443399998,75.81236038,49.06073527,7.75445397,8.55311187,0.9307637224025631,0.6155127970937042
1987-08,12.551078369999999,4.856787108000001,7.78025615623,7.149697617789999,0.63055853844,0.6198874652,0.08104598689999999,3992.93966935,1739.12133087,5.73206100022,318.1024921,1099.53412547,1.41763661757,75.40855691,48.93176467,7.63590771,8.80736796,0.926212159337127,0.6126567163992223
1987-09,12.57112399,4.7869879609999995,7.7376097413,7.137571249610001,0.60003849169,0.6155065965,0.0775483013,3989.27365758,1744.22346561,5.73349712319,304.90439529,1099.16973113,1.40407412642,74.86859467,48.59234035,7.48310748,8.16218179,0.9289958656730085,0.6134302732417671
1987-10,12.594383,4.831601807,7.79760121008,7.167121105240001,0.6304801048399999,0.6191332446,0.0808556488,3993.4477361,1772.59299678,5.7660407328700005,298.25419421,1102.82617816,1.40108037237,75.00570043,49.17390345,7.8780097,8.39361713,0.9305044481063353,0.6164642053682444
1987-11,12.61730594,4.868074921000001,7.77380124724,7.15728464791,0.6165165993299999,0.6161221171,0.079306967,3981.17693168,1747.80927257,5.72898620425,312.31817758,1115.98026608,1.42829844366,74.70887515,48.86813785,7.64322434,8.35834832,0.9272578238399741,0.6103134497075937
1987-12,12.64046941,4.689145177,7.840710420250001,7.234769828849999,0.6059405914,0.6202863331999999,0.0772813379,4023.4411286,1780.39600921,5.80383713781,318.03412109,1112.89856995,1.43093269103,75.1794408,49.2311978,7.36821282,8.26298917,0.9267451493331191,0.6153524850300228
1988-01,12.66436407,4.848740791,7.899344053,7.296577431179999,0.60276662182,0.6237458122,0.0763059082,4055.5884884,1795.45640366,5.85104489206,319.40455348,1126.12798564,1.44553253912,75.47529622,49.6251306,7.19721433,8.27204401,0.9269931288067267,0.6145488763684777
1988-02,12.687957200000001,4.795904259,7.86528890472,7.28198961962,0.5832992851000001,0.6199019102,0.0741612027,4058.81072878,1798.62271984,5.857433448619999,308.06398771,1116.49218328,1.42455617099,75.04047241,49.28909637,7.00860648,8.01994139,0.9294543563279473,0.616998910717023
1988-03,12.71178717,4.669137771,7.92421198256,7.329691130770001,0.59452085179,0.6233751302,0.0750258642,4074.65461653,1804.38040312,5.879035019650001,320.11745523,1130.53865588,1.45065611111,75.43003742,49.59450665,7.0753557,8.13502991,0.9271594863162491,0.6147973306407971
1988-04,12.73255206,4.70438598,7.99233646405,7.35992142599,0.63241503806,0.627708917,0.0791276795,4097.55938395,1809.2081142,5.906767498160001,310.0057231,1143.14820474,1.45315392784,75.81664011,50.07334122,7.43154979,8.62193887,0.9296650836526184,0.6128014097057124
1988-05,12.75332709,4.805526051,7.93422706149,7.343054025600001,0.59117303589,0.6221299748,0.0745092157,4087.70586184,1805.90289659,5.89360875843,308.69381484,1140.75145234,1.44944526717,75.13433645,49.63623132,6.98047128,8.14405184,0.9297848608993816,0.6128655358731729
1988-06,12.774327719999999,4.827017511,7.96460664299,7.3606268013700005,0.60397984161,0.6234853855,0.0758329782,4096.97575868,1802.77570713,5.89975146581,310.32348434,1150.55185122,1.46087533556,75.30270792,49.73934028,7.11309685,8.2762001,0.929588741941798,0.6104218619546543
1988-07,12.79455705,4.892713989,7.91259397935,7.37806784953,0.53452612982,0.6184343818,0.0675538428,4115.93501681,1805.10872541,5.92104374222,309.31917294,1147.70493438,1.45702410731,74.98766071,49.04751574,6.49734111,7.13944673,0.9301013773047296,0.6113181979584776
1988-08,12.81444613,4.922462035,7.97200820496,7.40855737057,0.56345083439,0.6221110241000001,0.0706786571,4111.45562129,1828.62815217,5.94008377346,306.90060849,1161.57298862,1.4684735971099998,74.85809864,49.89760217,6.63291663,7.70318445,0.9305396413214782,0.611540182774087
1988-09,12.83454562,4.776838866,8.00631970575,7.4511664065100005,0.55515329924,0.6238101403999999,0.0693393868,4123.05206086,1842.54359092,5.965595651779999,315.35206368,1170.21869105,1.48557075473,75.00651093,50.0867612,6.54793173,7.49683034,0.9289492225513187,0.6115794803814354
1988-10,12.85686786,4.871707102,8.01266490005,7.46639450135,0.54627039871,0.6232205999,0.0681758698,4141.1319235,1870.33922762,6.01147115112,307.42583352,1147.49751671,1.45492335023,74.96868003,50.00711382,6.45006221,7.3541154,0.9308931455290492,0.619761566338553
1988-11,12.879164269999999,4.882163375,8.01796803862,7.4878002080099995,0.5301678306100001,0.6225534414,0.0661224674,4143.06564248,1857.39343952,6.000459082,327.55192294,1159.78920307,1.48734112601,74.95830693,49.88557468,6.13576896,7.30942531,0.9267322873972497,0.615605238244902
1988-12,12.901673930000001,4.715437917999999,8.07304548319,7.521446635819999,0.5515988473700001,0.6257362825,0.0683259928,4152.19779354,1857.34980298,6.00954759652,326.25740508,1185.64163423,1.5118990392999998,75.14706018,50.32986085,6.37154097,7.50295196,0.9271495659528907,0.6103697106301855
